data,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
201205,  -6.2804,  -6.5590,  -6.0773,  -5.6338,  -6.2649,  -7.0235
201206,   5.8281,   4.3924,   4.6005,   2.8103,   4.7965,   4.9197
201207,  -3.0260,  -0.7810,  -1.8389,   1.2678,   1.3901,  -0.4658
201208,   3.0687,   3.4676,   3.4718,   2.4409,   1.7052,   4.6657
201209,   3.1632,   3.6798,   3.9187,   1.8753,   3.2307,   4.1853
201210,  -3.9220,  -1.3125,  -0.7629,  -2.6572,  -1.6496,   1.7563
201211,   0.9924,   1.0007,   0.7458,   1.1862,   0.2850,  -0.5011
201212,   2.6099,   3.4082,   4.4200,  -0.2489,   1.1615,   5.0999
201301,   7.0297,   6.0867,   6.0266,   4.6221,   5.8191,   7.5323
201302,   1.0942,   0.6806,   1.0524,   1.3065,   1.4514,   1.4178
201303,   5.3804,   4.4662,   4.5044,   3.7081,   4.2220,   3.9812
201304,  -0.8030,  -1.1514,   0.0637,   1.6662,   1.6760,   2.0407
201305,   5.1426,   5.3560,   5.1187,   2.0625,   1.2707,   7.2945
201306,  -0.0182,  -0.1542,  -0.3019,  -1.8227,  -0.3021,  -1.8693
201307,   7.4140,   7.1775,   7.8117,   5.5490,   5.0143,   6.2628
201308,  -0.8819,  -3.6238,  -3.8177,  -1.7298,  -3.1533,  -4.3624
201309,   6.0257,   6.7049,   5.5214,   4.1816,   3.0102,   2.3039
201310,   1.1286,   2.9257,   4.0682,   4.5022,   4.2882,   3.8494
201311,   4.8880,   4.0726,   4.3268,   3.3631,   1.8617,   4.3975
201312,   1.9879,   2.6115,   1.7671,   2.4441,   3.3754,   2.0499
201401,  -0.1452,  -4.2481,  -3.7014,  -3.1380,  -3.7480,  -3.7590
201402,   3.9536,   4.9318,   5.0121,   5.0341,   4.6719,   3.1815
201403,  -3.3728,   1.1300,   1.4527,  -0.8530,   1.2232,   4.4959
201404,  -6.1426,  -3.0795,  -2.8891,   0.2694,   1.0460,  -0.7036
201405,  -0.6433,   0.8082,   0.0439,   2.5131,   1.9775,   1.2841
201406,   7.2364,   4.9374,   4.4897,   1.7526,   2.6445,   3.0196
201407,  -6.3107,  -6.3044,  -5.4090,  -1.4416,  -1.5195,  -2.3238
201408,   5.0714,   4.0256,   4.5119,   5.0098,   3.1290,   4.3868
201409,  -4.7100,  -5.4370,  -6.4345,  -1.1714,  -2.0134,  -1.9050
201410,   7.4067,   5.8503,   5.3075,   2.8187,   1.5866,   1.5233
201411,   1.7363,  -0.4266,  -0.8764,   3.8067,   2.4750,   0.4229
201412,   2.3870,   2.5553,   3.3045,  -1.1953,  -0.2055,   2.0113
201501,  -2.9778,  -4.7676,  -5.0965,  -1.5203,  -3.2708,  -6.3582
201502,   7.4985,   6.7465,   5.1292,   6.6540,   5.8420,   5.4116
201503,   2.1324,   1.6450,   1.1299,  -1.3180,  -1.6265,  -1.2266
201504,  -3.1634,  -1.9752,  -0.7505,   0.2431,   1.2598,   1.5365
201505,   3.1344,   2.2982,   0.8505,   1.3880,   1.3562,   0.9272
201506,   2.4430,   0.3474,   0.5195,  -1.7331,  -2.0655,  -1.3926
201507,  -0.2912,  -2.4127,  -5.6146,   3.0390,   0.9653,   0.1214
201508,  -8.9065,  -4.7179,  -3.2525,  -6.2089,  -5.6128,  -6.5345
201509,  -7.7536,  -4.5326,  -4.8528,  -2.2452,  -2.8901,  -4.0762
201510,   4.4287,   6.6362,   5.8869,   7.9274,   8.6099,   6.3272
201511,   5.7577,   3.3008,   3.6719,   0.4875,  -0.2488,   1.5626
201512,  -3.8139,  -5.0099,  -6.7584,  -1.2356,  -2.3793,  -3.4799
201601, -13.7835,  -7.7833,  -6.8373,  -5.1918,  -5.1826,  -7.9861
201602,  -0.6478,   0.9371,   0.5289,   0.0181,   0.5806,  -2.1576
201603,   7.8564,   7.8242,   8.5633,   6.6112,   6.7841,   8.2262
201604,   2.4779,   1.1567,   3.7372,  -0.6648,   1.3673,   4.6027
201605,   2.3156,   1.2899,   0.2282,   2.1741,   1.8374,   0.6350
201606,   0.5175,  -0.6744,   0.1172,   0.0400,   0.4683,  -2.4940
201607,   6.9593,   5.8108,   5.8750,   4.8166,   2.2376,   3.6809
201608,   0.9163,   2.7660,   3.4756,  -0.3614,   0.2644,   3.7631
201609,   3.3616,   1.4177,   1.2137,   0.4646,  -0.1668,  -0.3597
201610,  -8.2827,  -5.0997,  -3.0260,  -2.0790,  -2.1420,   0.9849
201611,   8.7699,  12.3824,  14.8017,   1.7964,   5.3934,  12.3463
201612,  -0.4456,   2.8799,   4.5612,   1.3165,   1.9185,   3.4622
201701,   2.1244,  -0.1702,  -0.5351,   3.3379,   0.7575,   0.4292
201702,   3.6344,   1.0009,   0.3429,   4.4180,   2.4877,   4.1267
201703,   2.3294,  -0.0527,  -0.3763,   1.1017,  -0.2719,  -2.5247
201704,   1.6903,   1.5127,   0.7844,   1.9946,   0.6946,  -0.8419
201705,  -0.8731,  -1.5910,  -3.8414,   2.9927,  -0.0724,  -1.5933
201706,   4.7298,   3.0748,   3.2339,  -0.1410,   0.6247,   4.0587
201707,   0.7439,   0.5632,   0.6683,   2.6072,   1.4897,   2.1099
201708,  -0.4908,  -2.1155,  -2.4309,   1.4161,  -0.3094,  -1.1279
201709,   5.7160,   8.2374,   8.3106,   1.2602,   2.6361,   4.7241
201710,   0.3147,   0.3206,   0.8659,   3.4454,   1.0812,   2.7898
201711,   2.4363,   2.7976,   2.5954,   3.4662,   3.1068,   3.2194
201712,   0.8451,  -0.7177,   0.0595,   0.8703,   1.2140,   1.9324
201801,   3.1974,   3.0654,   1.7218,   6.5798,   5.2040,   5.3057
201802,  -3.0877,  -3.7392,  -3.8185,  -2.4475,  -4.8721,  -4.0924
201803,   1.1187,   0.9759,   1.8580,  -2.2932,  -2.3103,  -3.2793
201804,   1.1322,   1.1940,   2.2274,   0.6011,  -0.0022,   0.5822
201805,   8.0257,   7.3880,   5.8087,   3.8078,   2.0172,  -0.2964
201806,   2.8739,   0.3400,   0.5755,   1.2273,   0.2571,  -1.2374
201807,   1.2984,   2.2365,   1.0971,   3.2943,   3.4862,   4.3481
201808,   5.9969,   2.9155,   2.4378,   5.2336,   2.0434,   0.6295
201809,  -1.8356,  -2.7731,  -2.6382,   0.7729,   0.1125,  -1.0339
201810, -13.6084, -11.3622,  -9.0410,  -8.5718,  -4.8961,  -6.2628
201811,   1.0914,   2.1794,   0.5883,   1.4310,   2.3736,   2.4363
201812, -12.2792, -12.0778, -12.5822,  -8.3527,  -9.7007, -10.9965
201901,  12.8370,  10.4330,  11.0664,   8.3738,   8.0313,   8.9019
201902,   6.4981,   5.2057,   3.3850,   3.7626,   3.9500,   1.1921
201903,  -0.6230,  -2.8436,  -4.3241,   2.8217,   0.4154,  -1.6241
201904,   2.4292,   4.1190,   3.1520,   4.1964,   3.1897,   7.3419
201905,  -7.1011,  -8.1734,  -9.8636,  -6.4300,  -6.6596,  -8.4482
201906,   8.3483,   7.6437,   6.3614,   7.1503,   7.2143,   6.9804
201907,  -0.6514,   0.5311,  -1.0467,   1.8012,   0.7627,   2.4796
201908,  -4.1135,  -5.9631,  -8.2862,  -1.0495,  -3.2257,  -6.8618
201909,  -2.4616,   3.8520,   5.7197,   0.3041,   3.9659,   5.5442
201910,   4.6574,   2.3282,   0.5641,   2.5296,   1.7921,   2.4841
201911,   6.1953,   3.0833,   3.8580,   4.3396,   3.2413,   2.9556
201912,   2.7086,   4.2107,   4.8165,   2.7579,   2.6394,   4.3045
